year,county_name,urbanicity,region,division,pop_category,population,prison_population
1994,Monterey County,small/mid,West,Pacific,Male,118542,1038
1995,Monterey County,small/mid,West,Pacific,Male,119044,1026
1996,Monterey County,small/mid,West,Pacific,Male,121277,1140
1997,Monterey County,small/mid,West,Pacific,Male,129931,1304
1998,Monterey County,small/mid,West,Pacific,Male,135161,1383
1999,Monterey County,small/mid,West,Pacific,Male,139093,1384
2000,Monterey County,small/mid,West,Pacific,Male,142159,1355
2001,Monterey County,small/mid,West,Pacific,Male,143960,1291
2002,Monterey County,small/mid,West,Pacific,Male,144622,1376
2003,Monterey County,small/mid,West,Pacific,Male,145569,1478
2004,Monterey County,small/mid,West,Pacific,Male,145674,1542
2005,Monterey County,small/mid,West,Pacific,Male,144964,1566
2006,Monterey County,small/mid,West,Pacific,Male,143802,1726
2007,Monterey County,small/mid,West,Pacific,Male,143764,1770
2008,Monterey County,small/mid,West,Pacific,Male,144245,1673
2009,Monterey County,small/mid,West,Pacific,Male,145284,1674
2010,Monterey County,small/mid,West,Pacific,Male,146617,1615
2011,Monterey County,small/mid,West,Pacific,Male,147175,1559
2012,Monterey County,small/mid,West,Pacific,Male,147955,1520
2013,Monterey County,small/mid,West,Pacific,Male,148568,1539
2014,Monterey County,small/mid,West,Pacific,Male,147969,1567
2015,Monterey County,small/mid,West,Pacific,Male,147040,1503
2016,Monterey County,small/mid,West,Pacific,Male,146765,NA
1970,Napa County,small/mid,West,Pacific,Male,24123,NA
1971,Napa County,small/mid,West,Pacific,Male,25018,NA
1972,Napa County,small/mid,West,Pacific,Male,25734,NA
1973,Napa County,small/mid,West,Pacific,Male,27531,NA
1974,Napa County,small/mid,West,Pacific,Male,28767,NA
1975,Napa County,small/mid,West,Pacific,Male,29923,NA
1976,Napa County,small/mid,West,Pacific,Male,30604,NA
1977,Napa County,small/mid,West,Pacific,Male,31294,NA
1978,Napa County,small/mid,West,Pacific,Male,31350,NA
1979,Napa County,small/mid,West,Pacific,Male,32322,NA
1980,Napa County,small/mid,West,Pacific,Male,32580,NA
1981,Napa County,small/mid,West,Pacific,Male,32687,NA
1982,Napa County,small/mid,West,Pacific,Male,33159,NA
1983,Napa County,small/mid,West,Pacific,Male,33195,97
1984,Napa County,small/mid,West,Pacific,Male,33291,124
1985,Napa County,small/mid,West,Pacific,Male,33648,163
1986,Napa County,small/mid,West,Pacific,Male,34026,181
1987,Napa County,small/mid,West,Pacific,Male,34170,226
1988,Napa County,small/mid,West,Pacific,Male,34465,248
1989,Napa County,small/mid,West,Pacific,Male,35222,NA
1990,Napa County,small/mid,West,Pacific,Male,35760,NA
1991,Napa County,small/mid,West,Pacific,Male,35833,261
1992,Napa County,small/mid,West,Pacific,Male,36574,282
1993,Napa County,small/mid,West,Pacific,Male,36678,304
1994,Napa County,small/mid,West,Pacific,Male,36930,335
1995,Napa County,small/mid,West,Pacific,Male,37155,362
1996,Napa County,small/mid,West,Pacific,Male,37596,354
1997,Napa County,small/mid,West,Pacific,Male,38538,346
1998,Napa County,small/mid,West,Pacific,Male,39500,327
1999,Napa County,small/mid,West,Pacific,Male,40403,297
2000,Napa County,small/mid,West,Pacific,Male,41247,309
2001,Napa County,small/mid,West,Pacific,Male,42120,331
2002,Napa County,small/mid,West,Pacific,Male,43024,344
2003,Napa County,small/mid,West,Pacific,Male,43584,373
2004,Napa County,small/mid,West,Pacific,Male,43720,380
2005,Napa County,small/mid,West,Pacific,Male,43809,398
2006,Napa County,small/mid,West,Pacific,Male,44182,387
2007,Napa County,small/mid,West,Pacific,Male,44530,391
2008,Napa County,small/mid,West,Pacific,Male,45039,397
2009,Napa County,small/mid,West,Pacific,Male,45381,395
2010,Napa County,small/mid,West,Pacific,Male,45721,370
2011,Napa County,small/mid,West,Pacific,Male,45761,339
2012,Napa County,small/mid,West,Pacific,Male,45962,293
2013,Napa County,small/mid,West,Pacific,Male,46046,309
2014,Napa County,small/mid,West,Pacific,Male,46204,284
2015,Napa County,small/mid,West,Pacific,Male,46377,286
2016,Napa County,small/mid,West,Pacific,Male,46281,NA
1970,Nevada County,rural,West,Pacific,Male,7643,NA
1971,Nevada County,rural,West,Pacific,Male,7941,NA
1972,Nevada County,rural,West,Pacific,Male,8404,NA
1973,Nevada County,rural,West,Pacific,Male,9352,NA
1974,Nevada County,rural,West,Pacific,Male,9953,NA
1975,Nevada County,rural,West,Pacific,Male,10538,NA
1976,Nevada County,rural,West,Pacific,Male,11537,NA
1977,Nevada County,rural,West,Pacific,Male,12645,NA
1978,Nevada County,rural,West,Pacific,Male,14096,NA
1979,Nevada County,rural,West,Pacific,Male,15417,NA
1980,Nevada County,rural,West,Pacific,Male,16776,NA
1981,Nevada County,rural,West,Pacific,Male,17801,NA
1982,Nevada County,rural,West,Pacific,Male,18593,NA
1983,Nevada County,rural,West,Pacific,Male,18973,NA
1984,Nevada County,rural,West,Pacific,Male,19503,65
1985,Nevada County,rural,West,Pacific,Male,20169,75
1986,Nevada County,rural,West,Pacific,Male,20817,NA
1987,Nevada County,rural,West,Pacific,Male,21548,NA
1988,Nevada County,rural,West,Pacific,Male,22291,NA
1989,Nevada County,rural,West,Pacific,Male,23021,NA
1990,Nevada County,rural,West,Pacific,Male,23714,NA
1991,Nevada County,rural,West,Pacific,Male,24285,108
1992,Nevada County,rural,West,Pacific,Male,24908,124
1993,Nevada County,rural,West,Pacific,Male,25177,135
1994,Nevada County,rural,West,Pacific,Male,25552,131
1995,Nevada County,rural,West,Pacific,Male,25991,NA
1996,Nevada County,rural,West,Pacific,Male,26544,NA
1997,Nevada County,rural,West,Pacific,Male,27318,141
1998,Nevada County,rural,West,Pacific,Male,28098,153
1999,Nevada County,rural,West,Pacific,Male,28712,145
2000,Nevada County,rural,West,Pacific,Male,29590,137
2001,Nevada County,rural,West,Pacific,Male,30279,160
2002,Nevada County,rural,West,Pacific,Male,30821,176
2003,Nevada County,rural,West,Pacific,Male,31177,186
2004,Nevada County,rural,West,Pacific,Male,31567,155
2005,Nevada County,rural,West,Pacific,Male,32046,160
2006,Nevada County,rural,West,Pacific,Male,32144,165
2007,Nevada County,rural,West,Pacific,Male,32185,153
2008,Nevada County,rural,West,Pacific,Male,32141,143
2009,Nevada County,rural,West,Pacific,Male,32226,142
2010,Nevada County,rural,West,Pacific,Male,32192,137
2011,Nevada County,rural,West,Pacific,Male,32163,111
2012,Nevada County,rural,West,Pacific,Male,31950,NA
2013,Nevada County,rural,West,Pacific,Male,31300,108
2014,Nevada County,rural,West,Pacific,Male,30790,118
2015,Nevada County,rural,West,Pacific,Male,30428,NA
2016,Nevada County,rural,West,Pacific,Male,29926,NA
1970,Orange County,urban,West,Pacific,Male,442330,NA
1971,Orange County,urban,West,Pacific,Male,466130,NA
1972,Orange County,urban,West,Pacific,Male,492052,NA
1973,Orange County,urban,West,Pacific,Male,523752,NA
1974,Orange County,urban,West,Pacific,Male,552345,NA
1975,Orange County,urban,West,Pacific,Male,578572,NA
1976,Orange County,urban,West,Pacific,Male,602674,NA
1977,Orange County,urban,West,Pacific,Male,622510,NA
1978,Orange County,urban,West,Pacific,Male,642737,NA
1979,Orange County,urban,West,Pacific,Male,661799,NA
1980,Orange County,urban,West,Pacific,Male,686377,NA
1981,Orange County,urban,West,Pacific,Male,710178,NA
1982,Orange County,urban,West,Pacific,Male,727495,NA
1983,Orange County,urban,West,Pacific,Male,744524,1903
1984,Orange County,urban,West,Pacific,Male,760057,2007
1985,Orange County,urban,West,Pacific,Male,780662,2326
1986,Orange County,urban,West,Pacific,Male,803869,2518
1987,Orange County,urban,West,Pacific,Male,823700,2718
1988,Orange County,urban,West,Pacific,Male,843225,3142
1989,Orange County,urban,West,Pacific,Male,862352,NA
1990,Orange County,urban,West,Pacific,Male,868588,NA
1991,Orange County,urban,West,Pacific,Male,869572,3621
1992,Orange County,urban,West,Pacific,Male,879891,4489
1993,Orange County,urban,West,Pacific,Male,883232,5221
1994,Orange County,urban,West,Pacific,Male,886062,5738
1995,Orange County,urban,West,Pacific,Male,891561,6936
1996,Orange County,urban,West,Pacific,Male,898687,7310
1997,Orange County,urban,West,Pacific,Male,921082,7741
1998,Orange County,urban,West,Pacific,Male,943702,7920
1999,Orange County,urban,West,Pacific,Male,956711,8167
2000,Orange County,urban,West,Pacific,Male,969602,8032
2001,Orange County,urban,West,Pacific,Male,979588,7823
2002,Orange County,urban,West,Pacific,Male,987781,7894
2003,Orange County,urban,West,Pacific,Male,994829,8204
2004,Orange County,urban,West,Pacific,Male,1000145,8287
2005,Orange County,urban,West,Pacific,Male,1002051,8707
2006,Orange County,urban,West,Pacific,Male,1002818,8604
2007,Orange County,urban,West,Pacific,Male,1004872,9140
2008,Orange County,urban,West,Pacific,Male,1012856,9007
2009,Orange County,urban,West,Pacific,Male,1022797,8903
2010,Orange County,urban,West,Pacific,Male,1029936,8530
2011,Orange County,urban,West,Pacific,Male,1032484,7714
2012,Orange County,urban,West,Pacific,Male,1044323,7007
2013,Orange County,urban,West,Pacific,Male,1051835,6783
2014,Orange County,urban,West,Pacific,Male,1059622,6597
2015,Orange County,urban,West,Pacific,Male,1064794,6340
2016,Orange County,urban,West,Pacific,Male,1070702,NA
1970,Placer County,suburban,West,Pacific,Male,24485,NA
1971,Placer County,suburban,West,Pacific,Male,25580,NA
1972,Placer County,suburban,West,Pacific,Male,26596,NA
1973,Placer County,suburban,West,Pacific,Male,27667,NA
1974,Placer County,suburban,West,Pacific,Male,28796,NA
1975,Placer County,suburban,West,Pacific,Male,29857,NA
1976,Placer County,suburban,West,Pacific,Male,31508,NA
1977,Placer County,suburban,West,Pacific,Male,32943,NA
1978,Placer County,suburban,West,Pacific,Male,35833,NA
1979,Placer County,suburban,West,Pacific,Male,37573,NA
1980,Placer County,suburban,West,Pacific,Male,39460,NA
1981,Placer County,suburban,West,Pacific,Male,40811,NA
1982,Placer County,suburban,West,Pacific,Male,42009,NA
1983,Placer County,suburban,West,Pacific,Male,42671,112
1984,Placer County,suburban,West,Pacific,Male,43987,125
1985,Placer County,suburban,West,Pacific,Male,45392,130
1986,Placer County,suburban,West,Pacific,Male,46914,153
1987,Placer County,suburban,West,Pacific,Male,48763,164
1988,Placer County,suburban,West,Pacific,Male,50737,192
1989,Placer County,suburban,West,Pacific,Male,53618,NA
1990,Placer County,suburban,West,Pacific,Male,57335,NA
1991,Placer County,suburban,West,Pacific,Male,58966,259
1992,Placer County,suburban,West,Pacific,Male,60838,280
1993,Placer County,suburban,West,Pacific,Male,62290,319
1994,Placer County,suburban,West,Pacific,Male,64110,400
1995,Placer County,suburban,West,Pacific,Male,66240,447
1996,Placer County,suburban,West,Pacific,Male,68231,530
1997,Placer County,suburban,West,Pacific,Male,70779,604
1998,Placer County,suburban,West,Pacific,Male,73845,638
1999,Placer County,suburban,West,Pacific,Male,77377,639
2000,Placer County,suburban,West,Pacific,Male,80971,733
2001,Placer County,suburban,West,Pacific,Male,85180,746
2002,Placer County,suburban,West,Pacific,Male,89499,824
2003,Placer County,suburban,West,Pacific,Male,93776,809
2004,Placer County,suburban,West,Pacific,Male,97614,857
2005,Placer County,suburban,West,Pacific,Male,100886,881
2006,Placer County,suburban,West,Pacific,Male,103530,892
2007,Placer County,suburban,West,Pacific,Male,105826,934
2008,Placer County,suburban,West,Pacific,Male,108034,911
2009,Placer County,suburban,West,Pacific,Male,109796,897
2010,Placer County,suburban,West,Pacific,Male,111138,896
2011,Placer County,suburban,West,Pacific,Male,111650,749
2012,Placer County,suburban,West,Pacific,Male,113524,644
2013,Placer County,suburban,West,Pacific,Male,114270,652
2014,Placer County,suburban,West,Pacific,Male,115367,656
2015,Placer County,suburban,West,Pacific,Male,116120,641
2016,Placer County,suburban,West,Pacific,Male,116581,NA
1970,Plumas County,rural,West,Pacific,Male,3815,NA
1971,Plumas County,rural,West,Pacific,Male,3946,NA
1972,Plumas County,rural,West,Pacific,Male,4095,NA
1973,Plumas County,rural,West,Pacific,Male,4340,NA
1974,Plumas County,rural,West,Pacific,Male,4515,NA
1975,Plumas County,rural,West,Pacific,Male,4679,NA
1976,Plumas County,rural,West,Pacific,Male,4740,NA
1977,Plumas County,rural,West,Pacific,Male,5043,NA
1978,Plumas County,rural,West,Pacific,Male,5280,NA
1979,Plumas County,rural,West,Pacific,Male,5604,NA
1980,Plumas County,rural,West,Pacific,Male,5838,NA
1981,Plumas County,rural,West,Pacific,Male,5910,NA
1982,Plumas County,rural,West,Pacific,Male,5978,NA
1983,Plumas County,rural,West,Pacific,Male,5869,20
1984,Plumas County,rural,West,Pacific,Male,5855,24
1985,Plumas County,rural,West,Pacific,Male,5958,NA
1986,Plumas County,rural,West,Pacific,Male,5936,NA
1987,Plumas County,rural,West,Pacific,Male,5971,NA
1988,Plumas County,rural,West,Pacific,Male,6008,NA
1989,Plumas County,rural,West,Pacific,Male,5982,NA
1990,Plumas County,rural,West,Pacific,Male,6041,NA
1991,Plumas County,rural,West,Pacific,Male,6135,NA
1992,Plumas County,rural,West,Pacific,Male,6321,NA
1993,Plumas County,rural,West,Pacific,Male,6399,NA
1994,Plumas County,rural,West,Pacific,Male,6333,NA
1995,Plumas County,rural,West,Pacific,Male,6347,NA
1996,Plumas County,rural,West,Pacific,Male,6351,NA
1997,Plumas County,rural,West,Pacific,Male,6506,32
1998,Plumas County,rural,West,Pacific,Male,6577,39
1999,Plumas County,rural,West,Pacific,Male,6691,36
2000,Plumas County,rural,West,Pacific,Male,6692,NA
2001,Plumas County,rural,West,Pacific,Male,6756,NA
2002,Plumas County,rural,West,Pacific,Male,6829,NA
2003,Plumas County,rural,West,Pacific,Male,6880,NA
2004,Plumas County,rural,West,Pacific,Male,6910,NA
2005,Plumas County,rural,West,Pacific,Male,6960,NA
2006,Plumas County,rural,West,Pacific,Male,6914,65
2007,Plumas County,rural,West,Pacific,Male,6869,61
2008,Plumas County,rural,West,Pacific,Male,6693,63
2009,Plumas County,rural,West,Pacific,Male,6565,71
2010,Plumas County,rural,West,Pacific,Male,6489,NA
2011,Plumas County,rural,West,Pacific,Male,6437,NA
2012,Plumas County,rural,West,Pacific,Male,6317,NA
2013,Plumas County,rural,West,Pacific,Male,6033,NA
2014,Plumas County,rural,West,Pacific,Male,5821,NA
2015,Plumas County,rural,West,Pacific,Male,5674,NA
2016,Plumas County,rural,West,Pacific,Male,5543,NA
1970,Riverside County,urban,West,Pacific,Male,131920,NA
1971,Riverside County,urban,West,Pacific,Male,137815,NA
1972,Riverside County,urban,West,Pacific,Male,143845,NA
1973,Riverside County,urban,West,Pacific,Male,146119,NA
1974,Riverside County,urban,West,Pacific,Male,152804,NA
1975,Riverside County,urban,West,Pacific,Male,157584,NA
1976,Riverside County,urban,West,Pacific,Male,164365,NA
1977,Riverside County,urban,West,Pacific,Male,174266,NA
1978,Riverside County,urban,West,Pacific,Male,185807,NA
1979,Riverside County,urban,West,Pacific,Male,195187,NA
1980,Riverside County,urban,West,Pacific,Male,205236,NA
1981,Riverside County,urban,West,Pacific,Male,214212,NA
1982,Riverside County,urban,West,Pacific,Male,223646,NA
1983,Riverside County,urban,West,Pacific,Male,232811,1124
1984,Riverside County,urban,West,Pacific,Male,245342,1290
1985,Riverside County,urban,West,Pacific,Male,259916,1616
1986,Riverside County,urban,West,Pacific,Male,275307,2033
1987,Riverside County,urban,West,Pacific,Male,294198,2364
1988,Riverside County,urban,West,Pacific,Male,315364,2758
1989,Riverside County,urban,West,Pacific,Male,343584,NA
1990,Riverside County,urban,West,Pacific,Male,375348,NA
1991,Riverside County,urban,West,Pacific,Male,389098,3297
1992,Riverside County,urban,West,Pacific,Male,400322,3696
1993,Riverside County,urban,West,Pacific,Male,406432,4433
1994,Riverside County,urban,West,Pacific,Male,413296,4782
1995,Riverside County,urban,West,Pacific,Male,420945,5520
1996,Riverside County,urban,West,Pacific,Male,425630,6243
1997,Riverside County,urban,West,Pacific,Male,436769,7152
1998,Riverside County,urban,West,Pacific,Male,451051,7524
1999,Riverside County,urban,West,Pacific,Male,467641,7690
2000,Riverside County,urban,West,Pacific,Male,486058,7907
2001,Riverside County,urban,West,Pacific,Male,507470,7998
2002,Riverside County,urban,West,Pacific,Male,533403,8639
2003,Riverside County,urban,West,Pacific,Male,563497,8916
2004,Riverside County,urban,West,Pacific,Male,595119,9095
2005,Riverside County,urban,West,Pacific,Male,623500,9862
2006,Riverside County,urban,West,Pacific,Male,652513,9988
2007,Riverside County,urban,West,Pacific,Male,674640,9906
2008,Riverside County,urban,West,Pacific,Male,685577,10029
2009,Riverside County,urban,West,Pacific,Male,699235,9930
2010,Riverside County,urban,West,Pacific,Male,714857,9830
2011,Riverside County,urban,West,Pacific,Male,719635,9311
2012,Riverside County,urban,West,Pacific,Male,732840,8782
2013,Riverside County,urban,West,Pacific,Male,742291,9167
2014,Riverside County,urban,West,Pacific,Male,750007,9405
2015,Riverside County,urban,West,Pacific,Male,758848,8703
2016,Riverside County,urban,West,Pacific,Male,768623,NA
1970,Sacramento County,urban,West,Pacific,Male,198343,NA
1971,Sacramento County,urban,West,Pacific,Male,205746,NA
1972,Sacramento County,urban,West,Pacific,Male,213777,NA
1973,Sacramento County,urban,West,Pacific,Male,216585,NA
1974,Sacramento County,urban,West,Pacific,Male,223193,NA
1975,Sacramento County,urban,West,Pacific,Male,229669,NA
1976,Sacramento County,urban,West,Pacific,Male,235860,NA
1977,Sacramento County,urban,West,Pacific,Male,242693,NA
1978,Sacramento County,urban,West,Pacific,Male,251110,NA
1979,Sacramento County,urban,West,Pacific,Male,259383,NA
1980,Sacramento County,urban,West,Pacific,Male,266711,NA
1981,Sacramento County,urban,West,Pacific,Male,272627,NA
1982,Sacramento County,urban,West,Pacific,Male,280620,NA
1983,Sacramento County,urban,West,Pacific,Male,286463,1621
1984,Sacramento County,urban,West,Pacific,Male,291739,1798
1985,Sacramento County,urban,West,Pacific,Male,298591,2097
1986,Sacramento County,urban,West,Pacific,Male,306458,2456
1987,Sacramento County,urban,West,Pacific,Male,316132,2943
1988,Sacramento County,urban,West,Pacific,Male,325214,3385
1989,Sacramento County,urban,West,Pacific,Male,333741,NA
1990,Sacramento County,urban,West,Pacific,Male,352284,NA
1991,Sacramento County,urban,West,Pacific,Male,360535,3948
1992,Sacramento County,urban,West,Pacific,Male,364111,4162
1993,Sacramento County,urban,West,Pacific,Male,363526,4373
1994,Sacramento County,urban,West,Pacific,Male,361481,4552
